"노선
번호","지 점
번 호",조사 위치,,,,구    간,이정 (km),"연장
(km)","차
로
수","시
간",2018,2019,2020,2021,계,승용차,버스,소형 화물차,,중형 화물차,,,대형 화물차,,,,
,,도,시/군,구/면,동/리,,,,,,,,,,,1종,2종,3종,4종,5종,6종,7종,8종,9종,10종,11종,12종
경부선,부산 - 양산,,,,,,,12.8 ,,12,"59,299 ","62,417 ","60,778 ","63,162 ","62,124 ","49,247 ","1,313 ","6,590 ","1,736 ","1,498 ",258 ,526 ,38 ,14 ,804 ,5 ,95 
,,,,,,,,,,24,"79,467 ","83,096 ","80,042 ","83,412 ","81,938 ","65,061 ","1,779 ","8,582 ","2,268 ","1,949 ",337 ,682 ,47 ,20 ,"1,085 ",6 ,122 
,00101,부산,,금정,구서,구서IC ~ 노포IC,0~5.1,5.1 ,6,수*,"77,857 ","76,055 ","71,512 ","73,319 ","69,680 ","55,462 ","1,517 ","7,237 ","1,910 ","1,623 ",283 ,572 ,41 ,17 ,908 ,5 ,105 
,00101-1,부산,,금정,노포,노포IC ~ 노포JCT,5.1~5.6,0.5 ,6,수*,"77,553 ","72,053 ","66,817 ","69,907 ","66,539 ","52,866 ","1,448 ","6,947 ","1,833 ","1,577 ",275 ,555 ,41 ,17 ,873 ,5 ,102 
,00101-2,부산,,금정,노포,노포JCT ~ 양산JCT,5.6~12.8,7.2 ,6,상*,"80,723 ","88,769 ","86,906 ","91,389 ","91,691 ","72,707 ","1,988 ","9,648 ","2,552 ","2,206 ",379 ,769 ,52 ,22 ,"1,225 ",7 ,136 
,양산 - 서울주,,,,,,,20.8 ,,12,"58,601 ","62,733 ","59,366 ","65,210 ","66,899 ","42,894 ","1,497 ","8,391 ","4,204 ","3,421 ","1,256 ","2,199 ",27 ,25 ,"2,025 ",68 ,892 
,,,,,,,,,,24,"76,057 ","80,270 ","75,695 ","83,441 ","86,155 ","54,927 ","1,927 ","10,260 ","5,471 ","4,681 ","1,758 ","2,965 ",33 ,26 ,"2,739 ",114 ,"1,254 "
,00102,경남,양산,,다방,양산JCT ~ 양산IC,12.8~17.9,5.1 ,8,수*,"83,196 ","93,815 ","89,018 ","98,248 ","100,392 ","63,843 ","2,243 ","12,024 ","6,414 ","5,444 ","2,057 ","3,474 ",41 ,33 ,"3,215 ",137 ,"1,467 "
,00103,경남,양산,상북,석계,양산IC ~ 통도사하이패스IC,17.9~30.7,12.8 ,6,수*,"74,491 ","75,998 ","71,192 ","79,848 ","82,481 ","52,635 ","1,846 ","9,807 ","5,226 ","4,481 ","1,679 ","2,832 ",30 ,24 ,"2,616 ",107 ,"1,198 "
,00103-1,울산,울주,삼남,순지,통도사하이패스IC ~ 통도사IC,30.7~32.1,1.4 ,6,수*,"64,371 ","70,004 ","68,352 ","76,981 ","79,594 ","50,801 ","1,777 ","9,460 ","5,043 ","4,324 ","1,621 ","2,733 ",30 ,24 ,"2,519 ",104 ,"1,158 "
,00103-2,울산,울주,삼남,순지,통도사IC ~ 서울주JCT,32.1~33.6,1.5 ,6,수*,-     ,-     ,-     ,"69,811 ","75,209 ","48,019 ","1,679 ","8,876 ","4,755 ","4,123 ","1,547 ","2,585 ",29 ,24 ,"2,373 ",103 ,"1,096 "
경부선,서울주 - 언양,,,,,,,6.5 ,,12,"47,983 ","53,708 ","50,215 ","47,384 ","45,676 ","30,108 ","1,130 ","5,814 ","2,712 ","2,232 ",786 ,"1,120 ",26 ,24 ,"1,230 ",57 ,437 
,,,,,,,,,,24,"62,406 ","68,300 ","64,030 ","59,102 ","58,543 ","38,111 ","1,427 ","7,097 ","3,598 ","3,112 ","1,161 ","1,552 ",34 ,26 ,"1,696 ",80 ,649 
